stop,0,APP/Appleville,5,0,0.08
stop,1,BAB/Banana Bayou,0,0.04,0.1
stop,2,STA/Star City,0,0.08,0.16
stop,3,CHE/Cherry City,0,0.16,0.1
stop,4,WSD/West Side,2,0.01,0.01
stop,5,SSD/South Side,0,0.04,0
stop,6,ESD/East Side,0,0.1,0.02
stop,7,CEN/Central City,0,0.04,0.05
stop,8,DEP/Depot,8,0.08,0
stop,9,AIR/Airport,3,0.015,0.13
stop,10,RAC/Racerville,0,0.03,0.29
route,0,10,Express,5,7,1,2,1,7,-1,-1,-1,-1
route,1,16,Perimeter,4,0,1,2,3,6,5,-1,-1,-1
route,2,17,Slowboat,8,5,7,1,9,10,9,1,7,5
bus,7,0,0,0,10,50
bus,11,1,0,0,10,30
bus,18,2,0,0,10,30
